DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,patrimonio_total,qtd_bens,tipo_principal
DEPUTADO ESTADUAL,40002535268,16000,ENEIDA VASCONCELOS,PSTU,FEMININO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),25000.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002533206,1010,SILAS CÂMARA,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,21234.77,2.0,Depósito bancário em conta corrente no País
DEPUTADO FEDERAL,40002532764,5588,DELEGADO LÁZARO MENDES,PSD,MASCULINO,SUPERIOR COMPLETO,POLICIAL CIVIL,20000.0,2.0,Terreno
DEPUTADO ESTADUAL,40002546981,12666,NEY DA PANAIR,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,MOTOBOY,20000.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002536081,2711,NONATO CHEGADO,DC,MASCULINO,LÊ E ESCREVE,REPRESENTANTE COMERCIAL,17280.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002541609,20369,TIAGO FALCÃO,PODE,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,15998.08,7.0,"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado"
DEPUTADO ESTADUAL,40002545610,13456,BRENDA OLIVEIRA,PT,FEMININO,SUPERIOR INCOMPLETO,OUTROS,13776.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002542679,40376,MESTRE CLODOALDO,PSB,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,12000.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002536083,2707,GLÁUCIA AMAZONAS,DC,FEMININO,ENSINO MÉDIO COMPLETO,COMERCIANTE,10000.0,1.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002536483,36227,SÂMARA SOUZA,AGIR,FEMININO,SUPERIOR INCOMPLETO,EMPRESÁRIO,10000.0,1.0,Quotas ou quinhões de capital
DEPUTADO FEDERAL,40002540482,2244,MICKA SEVALHO,PL,FEMININO,SUPERIOR COMPLETO,JORNALISTA E REDATOR,9804.1,3.0,Depósito bancário em conta corrente no País
DEPUTADO FEDERAL,40002542673,1144,TENENTE CORONEL ADRIANA,PP,FEMININO,SUPERIOR COMPLETO,POLICIAL MILITAR,9362.15,3.0,Depósito bancário em conta corrente no País
DEPUTADO ESTADUAL,40002545611,13013,SABUGO,PT,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,8000.0,1.0,Depósito bancário em conta corrente no País
DEPUTADO FEDERAL,40002551005,5033,VALDECO TATTOO,PSOL,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,8000.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002546995,12777,CARLOS MORAES,PDT,MASCULINO,SUPERIOR INCOMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,7500.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
SENADOR,40002535270,161,EVANDRO DE OLIVEIRA,PSTU,MASCULINO,ENSINO MÉDIO COMPLETO,TÉCNICO DE MECÂNICA,7000.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
