DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,patrimonio_total,qtd_bens,tipo_principal
DEPUTADO ESTADUAL,40002554166,13656,RODRIGO FURTADO,PT,MASCULINO,SUPERIOR INCOMPLETO,OUTROS,0.0,0.0,
DEPUTADO FEDERAL,40002554165,1300,ADRIANA XAVIER,PT,FEMININO,SUPERIOR INCOMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002541605,20026,ALESSANDRA FARIAS,PODE,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,0.0,0.0,
SENADOR,40002535391,277,DAILSON CORRÊA,DC,MASCULINO,LÊ E ESCREVE,COMERCIANTE,0.0,0.0,
DEPUTADO ESTADUAL,40002542960,22777,RAYANA PINHO DO BAZAR,PL,FEMININO,SUPERIOR COMPLETO,PSICÓLOGO,0.0,0.0,
DEPUTADO ESTADUAL,40002546996,12312,SORAIA SOARES,PDT,FEMININO,ENSINO MÉDIO COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",0.0,0.0,
DEPUTADO ESTADUAL,40002534385,10200,JAZIEL RIBEIRO - O RESOLVE!,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002551308,50777,WLADIMIR MEDEIROS,PSOL,MASCULINO,SUPERIOR COMPLETO,PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,0.0,0.0,
DEPUTADO FEDERAL,40002541618,4022,MESTRE ESTELIO GABINO,PSB,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,0.0,0.0,
DEPUTADO FEDERAL,40002541620,4023,PAIXÃO,PSB,MASCULINO,ENSINO MÉDIO COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),0.0,0.0,
DEPUTADO ESTADUAL,40002536908,30121,ANDRESSA BRASIL,NOVO,FEMININO,ENSINO MÉDIO COMPLETO,PESCADOR,0.0,0.0,
DEPUTADO ESTADUAL,40002541751,44020,BEATRIZ FERNANDES,UNIÃO,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,0.0,0.0,
DEPUTADO ESTADUAL,40002542656,44555,RONILDO SOUZA,UNIÃO,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO FEDERAL,40002539047,1477,PATRICIA BENZAQUEM,MISSÃO,FEMININO,SUPERIOR COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",0.0,0.0,
DEPUTADO FEDERAL,40002541621,4008,MARCIA SILVA,PSB,FEMININO,ENSINO FUNDAMENTAL COMPLETO,EMPREGADO DOMÉSTICO,0.0,0.0,
VICE-GOVERNADOR,40002550775,18,LEO BALBI,PSOL,MASCULINO,SUPERIOR COMPLETO,PEDAGOGO,0.0,0.0,
DEPUTADO ESTADUAL,40002546988,12121,VALESKA FREITAS,PDT,FEMININO,ENSINO MÉDIO COMPLETO,NUTRICIONISTA E ASSEMELHADOS,0.0,0.0,
DEPUTADO ESTADUAL,40002536903,30123,ASTRID AMAZONAS,NOVO,FEMININO,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",0.0,0.0,
DEPUTADO ESTADUAL,40002542685,40233,LEIVSON LUIZ,PSB,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002532774,55635,ALMIR INACIO,PSD,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,0.0,0.0,
DEPUTADO ESTADUAL,40002546991,12000,VICTOR LABORDA,PDT,MASCULINO,SUPERIOR INCOMPLETO,JORNALISTA E REDATOR,0.0,0.0,
DEPUTADO ESTADUAL,40002534384,10456,LUCIANA MELO,REPUBLICANOS,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002546998,12600,TUXÁUA NAZA MURA,PDT,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,ARTESÃO,0.0,0.0,
DEPUTADO FEDERAL,40002549899,7707,DENIS REAL,SOLIDARIEDADE,MASCULINO,SUPERIOR INCOMPLETO,ADMINISTRADOR,0.0,0.0,
DEPUTADO ESTADUAL,40002536909,30007,LÚCIA TAVARES,NOVO,FEMININO,SUPERIOR INCOMPLETO,COMERCIANTE,0.0,0.0,
DEPUTADO FEDERAL,40002551003,5055,NATALIA,PSOL,FEMININO,SUPERIOR COMPLETO,ADVOGADO,0.0,0.0,
DEPUTADO FEDERAL,40002551010,1800,LUIZ ANDRADE,REDE,MASCULINO,SUPERIOR INCOMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,0.0,0.0,
DEPUTADO ESTADUAL,40002542660,44000,BRENA DIANNÁ,UNIÃO,FEMININO,SUPERIOR COMPLETO,DEPUTADO,0.0,0.0,
DEPUTADO FEDERAL,40002541624,4000,CHRISTIANE MELCHIOR,PSB,FEMININO,SUPERIOR COMPLETO,ADVOGADO,0.0,0.0,
DEPUTADO FEDERAL,40002539045,1401,EDUARDO THEO,MISSÃO,MASCULINO,SUPERIOR INCOMPLETO,"OPERADOR DE IMPLEMENTO DE AGRICULTURA, PECUÁRIA E EXPLORAÇÃO FLORESTAL",0.0,0.0,
DEPUTADO ESTADUAL,40002536495,36064,FÁBIO DUARTE FILHO DO BAIRRO,AGIR,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002536494,36556,ESTER DO PIORINI,AGIR,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,0.0,0.0,
DEPUTADO ESTADUAL,40002536906,30245,JOANA TRAVASSOS,NOVO,FEMININO,ENSINO MÉDIO COMPLETO,CABELEIREIRO E BARBEIRO,0.0,0.0,
DEPUTADO ESTADUAL,40002536485,36444,ANTÔNIO SÁ,AGIR,MASCULINO,SUPERIOR COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002536478,36321,MARA NÚBIA,AGIR,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,0.0,0.0,
DEPUTADO ESTADUAL,40002545601,13123,MICHELLE ANDREWS,PT,FEMININO,SUPERIOR INCOMPLETO,PRODUTOR DE ESPETÁCULOS PÚBLICOS,0.0,0.0,
DEPUTADO FEDERAL,40002549901,7777,ALEXANDRE DA CARBRÁS,SOLIDARIEDADE,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002532788,55789,CLÉIA BRANCHES,PSD,FEMININO,SUPERIOR COMPLETO,AGENTE ADMINISTRATIVO,0.0,0.0,
DEPUTADO ESTADUAL,40002545605,65126,PROF. GREICE ANNE,PCDOB,FEMININO,SUPERIOR COMPLETO,OUTROS,0.0,0.0,
SENADOR,40002550806,333,XUXA DO AMAZONAS,MOBILIZA,MASCULINO,ENSINO MÉDIO COMPLETO,MILITAR REFORMADO,0.0,0.0,
DEPUTADO FEDERAL,40002549905,7790,LENE SOUZA,SOLIDARIEDADE,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,0.0,0.0,
DEPUTADO ESTADUAL,40002532754,15319,DONMARQUES,MDB,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO FEDERAL,40002539043,1414,ELIABE CAMPOS,MISSÃO,MASCULINO,ENSINO MÉDIO COMPLETO,ALMOXARIFE,0.0,0.0,
DEPUTADO FEDERAL,40002536082,2727,PROFESSOR ROQUE LANE,DC,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,0.0,0.0,
DEPUTADO FEDERAL,40002549860,1212,MADALENA SILVA,PDT,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO FEDERAL,40002536452,3033,MARIA GATO,NOVO,FEMININO,SUPERIOR INCOMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO FEDERAL,40002536448,3030,LAYON NUNES,NOVO,MASCULINO,ENSINO MÉDIO COMPLETO,ADMINISTRADOR,0.0,0.0,
DEPUTADO ESTADUAL,40002542664,44544,DIEGO LARANJEIRA,UNIÃO,MASCULINO,SUPERIOR COMPLETO,OUTROS,0.0,0.0,
DEPUTADO FEDERAL,40002549859,1255,ROBÉRIO KAMBEBA,PDT,MASCULINO,SUPERIOR COMPLETO,ARTESÃO,0.0,0.0,
DEPUTADO ESTADUAL,40002546986,12560,FABÍOLA MARQUES,PDT,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO FEDERAL,40002549855,1299,EVALDO VASCONCELOS,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,AGENTE ADMINISTRATIVO,0.0,0.0,
1º SUPLENTE,40002551280,181,LAYNARA PRESTES,REDE,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
1º SUPLENTE,40002535271,161,ANTONIO NETO,PSTU,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,0.0,0.0,
DEPUTADO ESTADUAL,40002542951,22123,SÉRGIO KRUKE,PL,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,0.0,0.0,
2º SUPLENTE,40002551279,500,JANDER MUNIZ,PSOL,MASCULINO,ENSINO MÉDIO COMPLETO,ARTESÃO,0.0,0.0,
DEPUTADO ESTADUAL,40002536901,30233,ORCHARLINGHTON JATI,NOVO,MASCULINO,ENSINO MÉDIO COMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,0.0,0.0,
DEPUTADO FEDERAL,40002551006,1888,PATRÍCIA BARROSO,REDE,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,MANICURE E MAQUILADOR,0.0,0.0,
DEPUTADO FEDERAL,40002551004,5050,ÁLEX SOUSA,PSOL,FEMININO,ENSINO MÉDIO COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",0.0,0.0,
DEPUTADO ESTADUAL,40002536904,30762,WENDEL LARGATIXA,NOVO,MASCULINO,SUPERIOR INCOMPLETO,"TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES",0.0,0.0,
DEPUTADO ESTADUAL,40002534375,10600,PRISSILA MELO,REPUBLICANOS,FEMININO,SUPERIOR COMPLETO,FARMACÊUTICO,0.0,0.0,
DEPUTADO ESTADUAL,40002542683,40000,EDSON KAMBEBA,PSB,MASCULINO,ENSINO MÉDIO COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",0.0,0.0,
DEPUTADO FEDERAL,40002541589,2022,ANDRE PASSOS,PODE,MASCULINO,SUPERIOR COMPLETO,MÚSICO,0.0,0.0,
DEPUTADO ESTADUAL,40002536896,30222,MICHAEL LEMOS,NOVO,MASCULINO,SUPERIOR COMPLETO,ENFERMEIRO,0.0,0.0,
DEPUTADO FEDERAL,40002541623,4011,RONALDINHO SHOW,PSB,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002551312,18111,RAIMUNDA KAMBEBA,REDE,FEMININO,LÊ E ESCREVE,DONA DE CASA,0.0,0.0,
DEPUTADO ESTADUAL,40002541604,20633,PR. ABEL PEDRAÇA,PODE,MASCULINO,SUPERIOR COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002541603,20333,THIAGUINHO LAGO AZUL E BANCADA,PODE,MASCULINO,SUPERIOR COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002542956,22456,LÉIA FERNANDES,PL,FEMININO,SUPERIOR COMPLETO,AGENTE DE SAÚDE E SANITARISTA,0.0,0.0,
DEPUTADO ESTADUAL,40002541594,20222,ERALDO CB,PODE,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002551316,50999,MAURO COELHO,PSOL,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002541598,20555,DR. MARCELO KLINGER,PODE,MASCULINO,SUPERIOR COMPLETO,ODONTÓLOGO,0.0,0.0,
DEPUTADO FEDERAL,40002549857,1234,RENATA KOKAMA,PDT,FEMININO,LÊ E ESCREVE,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002532741,15622,LUANA FERRAZ,MDB,FEMININO,SUPERIOR COMPLETO,ADVOGADO,0.0,0.0,
DEPUTADO FEDERAL,40002540486,2259,DRA. PATRICIA SICCHAR,PL,FEMININO,SUPERIOR COMPLETO,MÉDICO,0.0,0.0,
DEPUTADO ESTADUAL,40002554167,13334,PAULO MENDES,PT,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002532784,55355,DELEGADA JOYCE COELHO,PSD,FEMININO,SUPERIOR COMPLETO,POLICIAL CIVIL,0.0,0.0,
DEPUTADO FEDERAL,40002541583,2026,VANETE CARVALHO,PODE,FEMININO,SUPERIOR INCOMPLETO,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),0.0,0.0,
DEPUTADO ESTADUAL,40002537352,70100,VIVI LIRA,AVANTE,FEMININO,SUPERIOR COMPLETO,OUTROS,0.0,0.0,
DEPUTADO FEDERAL,40002536440,7000,JUNIOR RESGATE,AVANTE,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,0.0,0.0,
DEPUTADO ESTADUAL,40002546979,12604,MANUEL SILVA,PDT,MASCULINO,SUPERIOR INCOMPLETO,PROTÉTICO,0.0,0.0,
DEPUTADO ESTADUAL,40002546983,12800,CIMARA CAVALCANTE,PDT,FEMININO,SUPERIOR COMPLETO,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),0.0,0.0,
DEPUTADO FEDERAL,40002536085,2772,ELPÍDIO DOS POVOS MURA,DC,MASCULINO,ENSINO MÉDIO COMPLETO,AGRICULTOR,0.0,0.0,
DEPUTADO ESTADUAL,40002536899,30114,MARCIO PATRIOTA,NOVO,MASCULINO,SUPERIOR COMPLETO,INDUSTRIAL,0.0,0.0,
DEPUTADO FEDERAL,40002541590,2012,PASTORA RUTH COSTA,PODE,FEMININO,SUPERIOR INCOMPLETO,OUTROS,0.0,0.0,
DEPUTADO FEDERAL,40002541591,2025,PROFESSOR AMILTON GADELHA,PODE,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,0.0,0.0,
DEPUTADO ESTADUAL,40002537619,70766,FLÁVIA KETLEN,AVANTE,FEMININO,SUPERIOR COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002545603,13107,CRISTIANE SALES,PT,FEMININO,SUPERIOR COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002536900,30555,CLENDA ALMEIDA,NOVO,FEMININO,ENSINO MÉDIO COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",0.0,0.0,
DEPUTADO ESTADUAL,40002536902,30124,NETE MOTA,NOVO,FEMININO,ENSINO MÉDIO COMPLETO,PESCADOR,0.0,0.0,
DEPUTADO ESTADUAL,40002536893,30700,NETO ASSAYAG,NOVO,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,0.0,0.0,
DEPUTADO FEDERAL,40002541585,2021,PR. EDIVAN CASTILHO,PODE,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,0.0,0.0,
DEPUTADO ESTADUAL,40002542682,40777,ANISIO JUNIOR,PSB,MASCULINO,ENSINO MÉDIO COMPLETO,MOTORISTA PARTICULAR,0.0,0.0,
DEPUTADO ESTADUAL,40002532781,55777,LIONS BRUCE,PSD,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002542959,22888,ANDREA RAMOS,PL,FEMININO,SUPERIOR INCOMPLETO,AGENTE ADMINISTRATIVO,0.0,0.0,
1º SUPLENTE,40002551278,500,RENAN ROTONDANO,PSOL,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,0.0,0.0,
